course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean,fail_pct
NMAB13022U - SCIENCE,Introduktion til matematik for de kemiske fag (MatIntroKem),Bachelor, 7.5,2, C,"Anvendelse af Maple. Komplekse tal. Talfølger. Kontinuitet, differentiabilitet og integration af funktioner af 1 variabel. Taylorapproksimation. Løsning af simple differentialligninger. Differentiabil...",Continuous Assesment,Pass 81.07%, 7, 6.39,18.930000000000007
NMAB10001U - SCIENCE,Introduktion til matematik i naturvidenskab (MatIntroNat),Bachelor, 7.5,1, C,Anvendelse af Maple.Komplekse tal.Talfølger.Kontinuerte funktioner af 1 variabel.Differentiabilitet og integration af funktioner af 1 variabel.Taylors formel.Løsning af simple differentialligninger.Ko...,"Continuous Assesment
Written (2m)",Pass 71.79%, 4, 4.35,28.209999999999994
NIFB21001U - SCIENCE,Introduktion til miljø- og fødevareøkonomi,Bachelor, 15,1-2, A,"Kurset har tre hovedmålsætninger:1) at give de studerende en viden om generel mikroøkonomi og virksomhedsøkonomi 2)  at give de studerende en viden om landbrugs- og fødevaresektorens økonomiske, insti...",Oral (20m),Pass 91.43%, 7, 8.09,8.569999999999993
NMAA09005U - SCIENCE,Introduktion til numerisk analyse (NumIntro),Bachelor, 7.5,1, C,"Numerisk analyse er et matematisk område som udvikler metoder for udregning af løsinger til både større og mindre problemer, hvor det ikke er muligt eller hensigtsmæssigt at anvende eksplicitte formle...",Written (4h),Pass 92.86%, 7, 6.66,7.140000000000001
NMAB24014U - SCIENCE,Introduktion til økonomi (ØkIntro),Bachelor, 7.5,2, B,Kurset omfatter basal mikro- og makroøkonomisk teori og introducerer herved grundlæggende “økonomisk tænkning” og giver basal forståelse for den økonomiske faglighed.,Written (4h),Pass 80.6%, 7, 5.58,19.400000000000006
NIGB14039U - SCIENCE,Introduktion til Remote Sensing - satellitbaseret kortlægning af naturressourcer,Bachelor, 7.5,3, A,Kurset giver en indføring i grundlæggende begreber og principper i remote sensing til brug for satellitbaseret kortlægning af naturressourcer. Gennem en række forelæsninger og øvelser opbygges der en ...,"Assignment
Oral (20m)",Pass 100%, 10, 9.04,0.0
NMAB16001U - SCIENCE,Introduktion til talteori,Bachelor, 7.5,4, A,Primtallene.Gruppen af primiske restklasser.KryptosystemerKvadratisk reciprocitet.Gausiske heltal mm.Arithmetiske funktionerKædebrøkerDiofantiske ligninger og summer af kvadrater,Oral (25m),Pass 96%, 7, 8.42,4.0
NMAK22017U - SCIENCE,Introduktion til talteori - for studerende med sidefag (IntroTal),Master, 7.5,4, A,Primtallene.Gruppen af primiske restklasser.KryptosystemerKvadratisk reciprocitet.Gausiske heltal mm.Arithmetiske funktionerKædebrøkerDiofantiske ligninger og summer af kvadrater,Oral (25m),Pass 71.43%, 5.5, 4,28.569999999999993
NBIK14017U - SCIENCE,Invasion Biology,Master, 7.5,4, B,Basic concepts in invasion biology. Overview of invasive and exotic species of animals and plants with example cases. Characterisation and classification of invasive species and biological societies o...,"Assignment
Oral (25m)",Pass 100%, 10, 8.65,0.0
NFYA04034U - SCIENCE,Inverse Problems,Master, 7.5,2, C,The objective of the course is to provide theory and methods for solving and analyzing inverse problems in physical sciences. Inverse problem theory will be formulated as a probabilistic data integrat...,"Oral (20m)
Continuous Assesment",Pass 96.3%, 12, 10.37,3.700000000000003
NIFB14008U - SCIENCE,Investering og Finansiering,Bachelor, 7.5,1, B,Investeringsbeslutninger og tidspræferencerGenerelt om renter og rentesregningFastlæggelse af kalkulationsrentenInvesteringskalkuler. Alternative metoder til rentabilitetsberegningInvesteringsplanlægn...,ITX (4h),Pass 97.06%, 8.5, 7.85,2.9399999999999977
NDAA09030U - SCIENCE,It-projektledelse (ITP),Bachelor, 7.5,1, A,"Kurset giver en indføring i centrale udfordringer, begreber og metoder, som er vigtige i arbejdet med styring og realisering af større it-baserede projekter i almindeligt forekommende organisatoriske ...",Assignment (5d),Pass 94.59%, 10, 8.66,5.409999999999997
NDAA09025U - SCIENCE,It-sikkerhed (ITS),Bachelor, 7.5,1, B,"Dette kursus har til formål, at give en introduktion til basale begreber inden for it-sikkerhed, som giver en helhedsforståelse af it-sikkerhed og sikkerhedsprocessen.  Kurset omhandler principper in...",Written (4h),Pass 91.14%, 7, 6.86,8.86
LPLB10306U - SCIENCE,"Jord, vand og planter",Bachelor, 7.5,3, C,De primære kursusemner er kort listet i det følgende. Emnerne er påtænkt at svare til undervisning gennem ca 18 halvdage. Hertil kommer øvelser og ekskursioner. Introduktion og kursusoversigt. Det d...,Written (4h),Pass 88.24%, 7, 7.15,11.760000000000005
NGEB10002U - SCIENCE,Jordbundsressourcer og jordbundens miljøgeokemi,Bachelor, 7.5,3, B,"Kurset giver en indføring i grundlæggende fysiske, kemiske og biologiske forhold og processer i jordbunden med henblik på at forstå og vurdere konkrete jordbundsforhold. Eksempler hentes primært fra D...",Oral (20m),Pass 100%, 10, 8.41,0.0
LSLS10164U - SCIENCE,Jura - natur og by,Bachelor, 7.5,2, A,"Kurset retter sig bredt mod urbane landskabsingeniørstuderende, og andre studerende på Science mv., der har interesse for by- og naturforvaltning, herunder hvordan lovgivningen kan bidrage til beskytt...",Written (2h),Pass 92.31%, 7, 6.12,7.689999999999998
LSLS10163U - SCIENCE,Jura - skov og natur,Bachelor, 7.5,1, A,"Kurset retter sig bredt mod skov- og landskabsingeniørstuderende, og andre studerende på Science mv., der har interesse for skov- og naturforvaltning, herunder hvordan lovgivningen kan bidrage til bes...",Written (2h),Pass 97.5%, 4, 5.38,2.5
LSLS20163U - SCIENCE,Jura - skov og natur,Bachelor, 7.5,1, A,"Kurset retter sig bredt mod skov- og landskabsingeniørstuderende, og andre studerende på Science mv., der har interesse for skov- og naturforvaltning, herunder hvordan lovgivningen kan bidrage til bes...",Written (2h),Pass 97.5%, 4, 5.38,2.5
NMAK23009U - SCIENCE,K-theory,Master, 7.5,4, A,K-theory assigns to each C*-algebra A two abelian groups K_0(A) and K_1(A). The K-theory of a C*-algebra contains deep information about the algebra A and there are strong tools that allow you to comp...,Continuous Assesment,Pass 80%, 12, 9.3,20.0
NKEA04065U - SCIENCE,Kemi (KemiBio),Bachelor, 7.5,3, B,Kemi er en central videnskab af stor betydning for forståelsen af biologiske processer i levende organismer og relationer mellem dem og deres miljø. Fx bliver kemiske signaler anvendt af bakterier og ...,ITX (4h),Pass 81.9%, 10, 7.22,18.099999999999994
NKEA04034U - SCIENCE,Kemisk binding (KemiBin),Bachelor, 7.5,4, B,"Molekylære vekselvirkninger, kemisk binding (ionisk, covalent, metallisk, hydrogenbinding), den molekylære basis for kemisk reaktivitet, vekselvirkningen mellem molekyler og lys (halvledere, fotosynte...",Oral (25m),Pass 91.84%, 12, 8.9,8.159999999999997
NKEA60002U - SCIENCE,Kemiske undervisningsforsøg (KUF),Master, 7.5,1, C,"Den studerende skal indøve og udføre 6 relevante demonstrationsforsøg samt udarbejde 6 elevøvelser, alle med rapporter. Til elevøvelserne skal der tillige udarbejdes forsøgsvejledninger. Yderligere sk...","Oral (30m)
Assignment",Pass 100%, 12, 10.9,0.0
NIGB14036U - SCIENCE,Klassifikation af rumlige data,Bachelor, 7.5,1, B,Dette kursus introducerer teoretiske og metodologiske aspekter af klassifikations systemer baseret på satellit billeder eller anden rumlig data som tematiske kort eller register data. Gængse veletable...,"Assignment
Oral (20m)",Pass 92.86%, 8.5, 8.21,7.140000000000001
NFYB21001U - SCIENCE,Klimafysik,Bachelor, 7.5,1, C,"Klimafysik introducerer den grundlæggende geofysik, der anvendes indenfor klimavideskaben. Kurset er baseret på fysik med relativt simple matematik. Kurset danner grundlag for senere kurser indenfor g...",Oral (25m),Pass 91.3%, 10, 8.04,8.700000000000003
LSLS10111U - SCIENCE,Klimatilpasning og grøn teknologi,Bachelor, 15,1, B,"Med udgangspunkt i et konkret område skal den studerende udarbejde et multifunktionelt klimatilpasningsforslag for et regnopland, der løser klimatilpasningsproblematikker og tilfører området merværdi....","Assignment
Oral",Pass 100%, 10, 9,0.0
LSLS10178U - SCIENCE,"Klimatilpasning, teknik og projektering",Bachelor, 15,3-4, A,"Med udgangspunkt i et konkret område skal den studerende udarbejde et teknisk forslag for regnvandshåndtering i mindre skala, med tilhørende redegørelse for vandhåndteringskapacitet og tekniske opbygn...","Assignment
Oral (20m)",Pass 86.67%, 10, 8.89,13.329999999999998
NIGB14033U - SCIENCE,Klimatologi og hydrologi,Bachelor, 7.5,3, C,Kurset giver en grundlæggende indføring i klimatologi og hydrologi med hovedvægt på danske eksempler. Med udgangspunkt i et nedbørsområde arbejdes der med elementære klimatiske og hydrologiske data og...,"Assignment
ITX (3h)",Pass 85.71%, 4, 4.8,14.290000000000006
NBIA04004U - SCIENCE,Komparativ anatomi,Bachelor, 7.5,2, B,"Kurset indeholder forelæsninger, praktiske øvelser og digitale simuleringer, hvor dyrerigets diversistet demonstreres med fokus på hvirveldyrene og deres organsystemer (skelet, muskulatur, hud, fordøj...",ITX (2h),Pass 91.78%, 7, 7.08,8.219999999999999
NMAK22004U - SCIENCE,Kompleks funktionsteori – for studerende med sidefag,Master, 7.5,2, A,"Simple egenskaber ved holomorfe funktioner,  Cauchy-Riemann's ligninger.Summen af en potensrække er  holomorf.Eksponentialfunktionen og de trigonometriske og hyperbolske funktioner af en kompleks vari...",Written (3h),Pass 50%, N/A, N/A,50.0
NMAA05069U - SCIENCE,Kompleks funktionsteori (KomAn),Bachelor, 7.5,2, A,"Simple egenskaber ved holomorfe funktioner, Cauchy-Riemann's ligninger.Summen af en potensrække er holomorf.Eksponentialfunktionen og de trigonometriske og hyperbolske funktioner af en kompleks variab...",Written (3h),Pass 78.95%, 7, 5.96,21.049999999999997
NIGB14031U - SCIENCE,Kultur- og naturgeografi,Bachelor, 15,1-2, B,"Kurset omhandler, hvordan samfundsmæssige og naturmæssige forudsætninger hver for sig eller i samspil har indflydelse på geografiske processer. I kurset introduceres grundlæggende kulturgeografisk og ...","Assignment
Oral (20m)",Pass 98.89%, 10, 8.91,1.1099999999999994
NGEA09053U - SCIENCE,Kulturgeografisk feltkursus (KGfelt),Bachelor, 7.5,4, B,"Kurset giver en indføring i kulturgeografiske feltmetoder i teori og praksis med henblik på selvstændigt at forberede en undersøgelse, indsamle, organisere og analysere data samt formidle resultaterne...","Assignment
Oral (20m)",Pass 100%, 10, 10.01,0.0
NNEK15011U - SCIENCE,Kvalitative metoder,Master, 15,1-2, A,Fællestræk og forskelle indenfor kvalitative metodologier og forskningsmetoder i idrætsforskningen. Herunder indblik i betydningen af og forbindelsen til overordnede videnskabsteoretiske paradigmer.Te...,Assignment (20m),Pass 100%, 7, 7.35,0.0
NKEA05042U - SCIENCE,Kvantekemi og teoretisk spektroskopi (KemiKS),Bachelor, 7.5,3, B,"Kvantekemiske begreber og metoder til beregning og fortolkning af molekylers struktur, egenskaber og spektreMatematisk beskrivelse af molekylernes symmetriegenskaberAnvendelse af molekylernes symmetri...",Oral (20m),Pass 97.22%, 12, 10.17,2.780000000000001
NFYB24001U - SCIENCE,Kvantemekanik 1 (KM1),Bachelor, 7.5,3, B,Kurset er en første introduktion til kvantemekanik og lægger vægt på kvantefysikens grundlæggende ideer og metoder på et elementært niveau. Vi starter med bølgefunktionens betydning og Schrödingerlig...,Written (4h),Pass 78.63%, 7, 6.23,21.370000000000005
NFYB10010U - SCIENCE,Kvantemekanik 2 (KM2),Bachelor, 7.5,4, C,"Kurset bygger videre på Kvantemekanik 1, KM1. De to kurser giver en samlet introduktion til kvantemekanikkens ideer, metoder og anvendelser samt giver de studerende teknikker til løsning af enkle kvan...",Written (4h),Pass 88.07%, 10, 7.44,11.930000000000007
NNEK15010U - SCIENCE,Kvantitative metoder,Master, 15,3-4, A,Videnskabsteoretiske præmisser for kvantitative analyser.Fremgangsmåder ved kvantitative analyser i hhv. sociologisk og psykologisk kvantitativ idrætsforskning.Kurset giver den studerende en indføring...,Assignment,Pass 97.56%, 7, 7.83,2.4399999999999977
NGEA04084U - SCIENCE,Kystprocesser &amp; kystmorfologi,Bachelor, 7.5,2, A,"Kurset giver en introduktion i samspillet mellem dynamiske processer (bølger, strømme, havspejlsændringer, tidevand), sedimenttransport og geomorfologi i det kystnære miljø, og dermed en forståelse fo...",ITX (2h),Pass 100%, 10, 8.62,0.0
NNEB18005U - SCIENCE,Læring i idræt,Bachelor, 7.5,2, B,"Idrætsundervisningens formål og perspektiver med vægt på begreber som kropslighed, mening, drivkraft, motivation, identitet, kognition og kompetence set ud fra en læringsteoretisk synsvinkel. Kendskab...","Oral (30m)
Assignment",Pass 91.87%, 7, 6.51,8.129999999999995
NIGK17000U - SCIENCE,Land Use and Environmental Modelling,Master, 7.5,3, A,"Environmental modelling is increasingly used in land management. To make decisions on sustainable land management, quantitative estimates of emissions (e.g., annual fluxes of nitrate and phosphorus) a...",Oral (20m),Pass 97.06%, 10, 8.29,2.9399999999999977
NIGK14009U - SCIENCE,Land Use Transitions in the Global South,Master, 7.5,1, A,The course provides an overview of the dominant contemporary land use transitions taking place in the Global South and how recent advances in land systems science are applied to understand these trans...,"Assignment
Oral (20m)",Pass 93.55%, 10, 9.03,6.450000000000003
NIGK14052U - SCIENCE,Landscape and Restoration Ecology,Master, 7.5,2, B,"The Landscape and Restoration Ecology course cover the following topics:Landscape attributes; geology, terrain, hydrology, land cover and the technosphere.Landscape patterns and structure; types of co...",Oral (20m),Pass 92.73%, 7, 7.89,7.269999999999996
NIGK15015U - SCIENCE,Landscape Studio,Master, 15,4, A,"Landscape Studio is an advanced design course where students train individual and collective skills within a group-design process. The ability to formulate design solutions, strategies, planning- and ...","Assignment
Oral (20m)",Pass 100%, 10, 9.95,0.0
NIGB14037U - SCIENCE,Landskabsanalyse og -økologi,Bachelor, 7.5,3, C,Kurset giver en indføring i en central analytisk tilgang til undersøgelse af landskabers struktur og funktioner som især anvendes til vurdering af landskabers habitatkvalitet. Gennem praktiske øvelser...,Oral (20m),Pass 100%, 10, 8.94,0.0
NIGB19001U - SCIENCE,"Landskabsarkitekturens historie, nutid og fremtid",Bachelor, 7.5,3, B,"Kurset arbejder med fagets historie igennem de kunstneriske, kulturelle og miljømæssige strømninger, der ligger til grund for vores opfattelse af landskabsarkitektur i dag. Vi tager udgangspunkt i kon...",Oral (20m),Pass 100%, 11, 9.5,0.0
NMAB21006U - SCIENCE,Lebesgueintegralet og målteori (LIM),Bachelor, 7.5,1, B,"Sigma-algebraer: definition og egenskaber, Borel sigma-algebraen.Mål: definition og egenskaber, Lebesguemålet, sandsynlighedsmål.Entydighed af mål, herunder Dynkinsystemer.Målelige funktioner: definit...","Written (3h)
Continuous Assesment",Pass 93.81%, 7, 7.18,6.189999999999998
NPLK14004U - SCIENCE,Life Cycle Assessment within Biological Production Systems,Master, 7.5,1, B,Life cycle assessment (LCA) is a multi-disciplinary environmental assessment methodology used to assess the sustainability of products. This could be anything from tomatoes to a complete diet or a bio...,"Oral (20m)
Assignment",Pass 100%, 10, 8.59,0.0
NNEK23004U - SCIENCE,Lifecourse Nutrition and Health,Master, 7.5,2, C,"In this course we focus on nutritional requirements during specific stages of the lifecourse and the role of optimal nutrition for health including growth, development, maintenance and disease prevent...",Oral (20m),Pass 89.13%, 7, 6.29,10.870000000000005
NMAB15002U - SCIENCE,Lineær algebra i datalogi (LinAlgDat),Bachelor, 7.5,4, C,"Lineær algebra med fokus på ligningsløsning, Gauss-elimination, matrixregning, baser for vektorrum, ortogonalitet, determinant, egenværdier, komplekse tal og diagonalisering. Anvendelsesmuligheder i d...",Written (4h),Pass 82.13%, 7, 5.34,17.870000000000005
NMAB10006U - SCIENCE,Lineær algebra i de matematiske fag (LinAlgMat),Bachelor, 7.5,2, A,"Lineær algebra med fokus på løsning af lineære ligningssystemer ved Gauss-elimination, matricer og deres aritmetik, determinanten, reelle og komplekse vektorrum, lineære afbildninger, baser for vektor...","Written (3h)
Assignment",Pass 95.87%, 7, 7.17,4.1299999999999955
NDAB16011U - SCIENCE,Logic in Computer Science (LICS),Bachelor, 7.5,2, A,"The aim of this course is to provide a firm theoretical foundation of formal logic, with an emphasis on logics, properties, techniques and algorithms relevant in computer science. Building on the stud...",ITX (4h),Pass 77.42%, 7, 7.44,22.58
NDAK22000U - SCIENCE,Machine Learning A (MLA),Master, 7.5,1, B,The course introduces basic theory and algorithms of machine learning. The course covers the following tentative list of topics:Supervised learning setting ClassificationRegressionUnsupervised learnin...,Assignment (7d),Pass 90.99%, 7, 7.58,9.010000000000005
NKEB22002U - SCIENCE,Machine Learning and Molecules (MLmol),Bachelor, 7.5,2-4, A,Students write their own neural network code from scratch using Python and use it to predict chemical properties of molecules. The performance is compared to standard machine learning packages such as...,Oral (30m),Pass 100%, N/A, N/A,0.0
NDAK22001U - SCIENCE,Machine Learning B (MLB),Master, 7.5,4, C,The course is a continuation of Machine Learning A course and provides deeper theoretical foundations of machine learning and a number of advanced theoretically grounded learning techniques. A tentati...,Continuous Assesment,Pass 91.3%, 10, 8.1,8.700000000000003
NMAK10018U - SCIENCE,Macroeconomics 3 (MakØk3) - Business Cycles and Monetary Stabilization Policies,Master, 7.5,2, B,The Basic New-Keynesian Model. Monetary stabilization policy in the New Keynesian Model. Credibility issues in stabilization policy. Sticky wages and prices and stabilization policy. Unemployment in t...,ITX (3h),Pass 84.78%, 7, 6.13,15.219999999999999
NDAB24006U - SCIENCE,Macroeconomics B (MakØkB),Bachelor, 7.5,4, C,"The course deals with macroeconomic theory and empirics for the short run.It integrates the computer mainly through numerical solution techniques.First, the course reintroduces the theoretical distinc...",Assignment (2d),Pass 85.37%, 7, 5.54,14.629999999999995
NBIK13014U - SCIENCE,Major Subject Project,Master, 7.5,1-4, Other,To formulate a scientific project in a form similar to writing a grant application for an experimental project of a scale corresponding to one year full time work. The paper should contain the relevan...,"Assignment
Oral (1h)",Pass 100%, 10, 9.38,0.0
NBIB17000U - SCIENCE,Makrofauna i ferskvand: Økologi og miljøbedømmelse,Bachelor, 7.5,Summer, A,"Kurset består af flere komponenter. En af dem indebærer standardiseret feltindsamling af makroinvertebrater og måling af udvalgte miljøparametre på udvalgte vandløbslokaliteter, ved brug af de officie...",Assignment,Pass 100%, 8.5, 8.5,0.0
NBIB13011U - SCIENCE,Makromolekylær biokemi og biofysik (Biostruktur),Bachelor, 7.5,3, B,"Termodynamikkens 1. og 2. hovedsætning, fri energi og ligevægt, ligevægtsbetragtninger (massevirkning) i makromolekylære systemer, intermolekylære vekselvirkninger, vand som opløsningsmiddel, biomakro...",ITX (3h),Pass 95.74%, 10, 8.11,4.260000000000005
NMAB20003U - SCIENCE,Makroøkonomi 1: Det korte sigt (MakØk1),Bachelor, 7.5,3, A,"Faget sætter fokus på de konjunkturbevægelser, der kendetegner den makroøkonomiske udvikling på kort og mellemlangt sigt. Med udgangspunkt i teorier om det private forbrug, de private investeringer sa...",Written (3h),Pass 84.62%, 7, 6.04,15.379999999999995
NMAB10003U - SCIENCE,Makroøkonomi 2 - Det lange sigt (MakØk2),Bachelor, 7.5,4, C,"Basale dynamiske generel-ligevægts-modeller: Solow-Swan modellen, Ramsey-Cass-Koopmans modellen og Diamond-modellen (overlappende generationer). Dynamisk analyse i diskret tid og kontinuert tid. Husho...",Written (3h),Pass 90.59%, 7, 6.76,9.409999999999997
NDAB24005U - SCIENCE,Makroøkonomi A (MakØkA),Bachelor, 7.5,2, B,"Kurset omhandler makroøkonomisk teori og empiri for det lange sigt.Computeren integreres gennem numeriske modelløsningsmetoder.Først introduceres makroøkonomi generelt, den teoretiske sondring mellem ...",ITX (4h),Pass 86.36%, 7, 6.05,13.64
NIFB13011U - SCIENCE,Makroøkonomi og konjunkturer,Bachelor, 7.5,4, C,"Kurset har to overordnede formål. Det ene er at anvende og delvist videreudbygge de makroøkonomiske redskaber, som studerende har opnået på foregående kurser. Det andet formål, som også samtidig er et...",Assignment,Pass 100%, 10, 9.15,0.0
NBIK21001U - SCIENCE,Marine Biology,Master, 7.5,1, B,"The course gives a comprehensive description of the different marine ecosystems including open waters, soft and hard bottom environments(e.g. macrophyte communities and coral reefs). The ecosystems ar...",Oral (20m),Pass 97.62%, 7, 8.05,2.3799999999999955
NIGB21013U - SCIENCE,"Marine Geology: Microplastic Fate, High-Resolution Seismics and Archaeology",Bachelor, 7.5,1, A,"In this course, students will have the opportunity to develop and carry out a marine geoscience-based project under guidance of course coordinators. Through individual and group projects, students wil...","Assignment
Oral (20m)",Pass 100%, 12, 10.67,0.0
NBIK16003U - SCIENCE,Marine Microbiology and Virology,Master, 7.5,3, A,"Marine microbes (virus, bacteria, archaea and protists) are key drivers of the biosphere in terms of facilitating primary production and biogeochemical recycling of nutrients. They play a central role...",Oral (30m),Pass 100%, 12, 9.71,0.0
NIFK23003U - SCIENCE,Market Design,Master, 7.5,2, B," The course is about design of markets, not only in the sense of auctions and matching markets, but also in the broader sense of designing allocation rules in general. We aim to understand why some ma...",Oral (20m),Pass 100%, 10, 8.61,0.0
NFYA04070U - SCIENCE,Matematik F (MatF),Bachelor, 7.5,3, A,"Formålet med kurset er at opnå grundlæggende matematiske færdigheder i studiet af skalar- og vektorfelter i fysikken (vektoranalyse), at stifte bekendskab med integraltransformationer og at opnå grund...",Written (4h),Pass 89.23%, 10, 8.83,10.769999999999996
NFYA06050U - SCIENCE,Matematik F2 (MatF2),Bachelor, 7.5,4, A,"Kurset giver et indblik i kompleks funktionsteori og i udvalgte integraltransformationer samt eksempler fra fysikken, hvor disse benyttes. Emner som berøres i kurset er: analytiske funktioner, Cauchy-...",Written (4h),Pass 84.71%, 10, 7.74,15.290000000000006
NMAA05016U - SCIENCE,Matematik i undervisningsmæssig sammenhæng (UvMat),Bachelor, 7.5,4, C,"Vi fordyber os i udvalgte emner vedr. tal, algebra og stokastik. Det gymnasiale stof genbesøges fra et underviserperspektiv, på basis af universitetsmatematik som I har lært i forudsætningskurserne, s...",Written (5h),Pass 100%, 5.5, 6.17,0.0
LMAB10066U - SCIENCE,Matematik og databehandling (MatDat),Bachelor, 7.5,1, C,"Kurset er emnemæssigt delt op i fire matematikmoduler i forlængelse af hinanden, samt et databehandlingsmodul, der forløber på langs af dem. Matematikmodulerne er - Funktioner og matematiske modelle...",Written (4h),Pass 84.44%, 7, 6.64,15.560000000000002
NMAA04011U - SCIENCE,Matematik/Statistik (MatStat),Bachelor, 7.5,2, A,MatematikDen matematiske del af kurset fokuserer på deterministiske matematiske modeller og deres anvendelse i forskellige situationer indenfor biologi. Vi begynder med de almindelige matematiske funk...,Written (4h),Pass 83.91%, 7, 6.91,16.090000000000003
NMAA05080U - SCIENCE,Matematikkens historie (Hist1),Bachelor, 7.5,2, B,Hovedstrømninger i matematikkens idehistorie især i vesten. Differential- og integralregningens forhistorie (1600-1665) behandles mere indgående. Desuden vil kurset give en sammenhæng mellem forskell...,Oral (30m),Pass 97.06%, 10, 8,2.9399999999999977
NMAB20001U - SCIENCE,Matematisk Analyse (MatAn),Bachelor, 7.5,1, A,"Kurset giver en introduktion til matematisk analyse, med henblik til dens senere brug i datavidenskab og machine learning. Metodisk er kurset matematisk stringent (dvs. inkl. beviser) for at give en d...",Written (4h),Pass 73.44%, 7, 6,26.560000000000002
NDAB18002U - SCIENCE,Matematisk analyse og sandsynlighedsteori i datalogi (MASD),Bachelor, 7.5,1, A,Kurset giver en introduktion til analyse i en og flere variabler. Kurset giver derudover en introduktion til sandsynlighedsteori. ,ITX (4h),Pass 62.38%, 4, 3.39,37.62
NMAA05009U - SCIENCE,Matematisk modellering (Model),Bachelor, 7.5,3, B,"Dette kursus er en introduktion til de redskaber og processer bag matematisk modellering, som omhandler overgangen fra virkelighed til modeller og tilbage til virkeligheden:1. Et virkeligt problem bli...",Continuous Assesment,Pass 77.78%, 7, 5.78,22.22
NMAB22005U - SCIENCE,Matematisk statistik (MStat),Bachelor, 7.5,4, A,"Kurset en introduktion til matematiske statistik på et målteoretisk grundlag og dækker emnerne: statistiske modeller, likelihood og likelihoodfunktion, estimation, konfidensområder, hypotesetest samt ...",Written (4h),Pass 78.08%, 4, 4.61,21.92
NFYB16006U - SCIENCE,Matematiske metoder i fysik - del 3 (MatF3),Bachelor, 7.5,3, C,"Kurset bygger videre på det obligatoriske matematikindhold i bacheloruddannelsen i de fysiske fag og giver en indføring i de gruppeteoretiske metoder, der anvendes i moderne teoretisk fysik.Nøgleemner...",Written (4h),Pass 76.47%, 5.5, 5.53,23.53
NKEB23002U - SCIENCE,Materials Chemistry (MatKem),Bachelor, 7.5,2, A,"Solid state materials chemistry lies at the heart of many significant scientific advances from recent decades, for example the development of Li-ion batteries and other technologies for green and sust...",Oral (25m),Pass 100%, 7, 8.07,0.0
NMAK24001U - SCIENCE,Mathematical Finance (MathFin),Master, 15,1-2, A,"This course examines mathematics, modeling, concepts, and approaches for pricing derivatives securities in continuous time financial models. The topics includeIntroduction to continuous time stochasti...","ITX (4h)
Continuous Assesment",Pass 90%, 7, 6.47,10.0
NMAA05012U - SCIENCE,Mathematical Physics (MatFys),Bachelor, 7.5,2, C,"A. Classical mechanics: A1. Newtonian mechanics. A2. Calculus of variations and Lagrangian mechanics, including Noether's theorem. A3. Legendre-Fenchel transform and Hamiltonian mechanics, including L...",Continuous Assesment,Pass 87.5%, 8.5, 7.75,12.5
NFOK20000U - SCIENCE,Meal Systems and Technologies,Master, 7.5,3, A,"Governments and local authorities have an important role and responsibility in ensuring food and meals for a wide range of people. These include elderly people in care homes, ensuring ‘healthy’ eating...",Oral (15m),Pass 96.88%, 10, 9.29,3.1200000000000045
NBIK14035U - SCIENCE,Medical Bacteriology,Master, 7.5,3, B,To give students a thorough understanding of the field of Medical Bacteriology with emphasis on the specific traits that enables certain bacteria to cause disease. The course will cover specific bacte...,ITX (4h),Pass 92.5%, 5.5, 5.95,7.5
NDAK10005U - SCIENCE,Medical Image Analysis (MIA),Master, 7.5,1, A,"Medical diagnosis, prognosis and quantification of progression is in general based on biomarkers. These may be blood or urine markers, but currently, imaging is taking over as a more indicative biomar...",Oral (15m),Pass 90.7%, 10, 8.2,9.299999999999997
NFOB20000U - SCIENCE,Mejeripraktik,Bachelor, 30,3-4, C,"Introduktionsforløbet på Kold College, Odense (de første 4 uger)Introduktionsforløbet består af både teoretiske og praktiske elementer.Den teoretiske del af forløbet integrerer aktuel litteratur med ø...",Continuous Assesment,Pass 100%, N/A, N/A,0.0
NFYB23004U - SCIENCE,Mekanik for nanoscience,Bachelor, 7.5,4, C,Det overordnede formål er at sætte den studerende i stand til at anvende metoder fra klassisk mekanik og ikke-lineære systemer til at løse konkrete matematiske og fysiske problemstillinger. Den studer...,Written (5h),Pass 89.47%, 7, 5.79,10.530000000000001
NFYB18000U - SCIENCE,Mekanik og relativitetsteori,Bachelor, 15,1-2, B,"Kursets hovedformål er at udvikle den studerendes evne til at tænke som en fysiker.Ved at studere en række konkrete fysiske problemstillinger, fra bevægelse af en satelit til relativistisk bevægelse, ...",Continuous Assesment,Pass 85.16%, 7, 6.66,14.840000000000003
NBIA04035U - SCIENCE,Menneskets fysiologi (Fysiologi),Bachelor, 7.5,2, B,"En forelæsning vil give et overblik over et fysiologisk emne, som eksempel: nerver, muskler, sanser, respiration, energistofskifte, hormoner, fordøjelse og nyrer. Der lægges vægt på samspillet mellem ...",ITX (4h),Pass 92.05%, 7, 6.51,7.950000000000003
NBIB13009U - SCIENCE,Metabolisme og enzymologi (Biokemi1),Bachelor, 15,4, A,"De basale træk af biokemien behandles. Emnerne er biomolekylers struktur og funktion, energistofskiftet samt nedbrydning og biosyntese af lavmolekylære forbindelser (det intermediære stofskifte). Øvel...",Written (4h),Pass 54.35%, 2, 2.47,45.65
